Mal_id,Score,Genres,Themes,Demographics
5114,9.14,"['Action','Adventure','Drama','Fantasy']","['Military']","['Shounen']"
28977,9.08,"['Action','Comedy','Sci-Fi']","['Gag Humor','Historical','Parody','Samurai']","['Shounen']"
9253,9.08,"['Drama','Sci-Fi','Suspense']","['Psychological','Time Travel']","[]"
38524,9.07,"['Action','Drama']","['Gore','Military','Survival']","['Shounen']"
9969,9.05,"['Action','Comedy','Sci-Fi']","['Gag Humor','Historical','Parody','Samurai']","['Shounen']"
39486,9.05,"['Action','Comedy','Drama','Sci-Fi']","['Gag Humor','Historical','Parody','Samurai']","['Shounen']"
11061,9.05,"['Action','Adventure','Fantasy']","[]","['Shounen']"
42938,9.04,"['Drama','Romance','Supernatural']","[]","['Shoujo']"
15417,9.04,"['Action','Comedy','Sci-Fi']","['Gag Humor','Historical','Parody','Samurai']","['Shounen']"
50265,9.04,"['Action','Comedy']","['Childcare']","['Shounen']"
820,9.03,"['Drama','Sci-Fi']","['Adult Cast','Military','Space']","[]"
34096,8.99,"['Action','Comedy','Sci-Fi']","['Gag Humor','Historical','Parody','Samurai']","['Shounen']"
35180,8.96,"['Drama','Slice of Life']","['Childcare','Iyashikei','Strategy Game']","['Seinen']"
43608,8.96,"['Comedy','Suspense']","['Psychological','Romantic Subtext','School']","['Seinen']"
918,8.95,"['Action','Comedy','Sci-Fi']","['Gag Humor','Historical','Parody','Samurai']","['Shounen']"
28851,8.95,"['Drama']","['Romantic Subtext']","['Shounen']"
37987,8.95,"['Drama','Fantasy','Slice of Life']","[]","[]"
4181,8.94,"['Drama','Romance','Supernatural']","[]","[]"
15335,8.93,"['Action','Comedy','Sci-Fi']","['Gag Humor','Historical','Parody','Samurai','Time Travel']","['Shounen']"
2904,8.91,"['Action','Drama','Sci-Fi']","['Mecha','Military','Super Power']","[]"
35247,8.9,"['Comedy','Mystery','Supernatural']","['Vampire']","[]"
37491,8.88,"['Action','Comedy','Sci-Fi']","['Gag Humor','Historical','Parody','Samurai']","['Shounen']"
47778,8.87,"['Action','Fantasy']","['Historical']","['Shounen']"
32281,8.87,"['Drama','Supernatural']","['Romantic Subtext']","[]"
48583,8.85,"['Action','Drama']","['Gore','Military','Survival']","['Shounen']"
40028,8.84,"['Action','Drama']","['Gore','Military','Survival']","['Shounen']"
